date,name,close,per,pbr,dividendYield
2015-06-15,코스피,2042.32,16.64,1.13,1.3
2015-06-16,코스피,2028.72,16.53,1.12,1.3
2015-06-17,코스피,2034.86,16.58,1.12,1.3
2015-06-18,코스피,2041.88,16.64,1.13,1.3
2015-06-19,코스피,2046.96,16.67,1.13,1.29
2015-06-22,코스피,2055.16,16.74,1.13,1.29
2015-06-23,코스피,2081.2,16.94,1.15,1.27
2015-06-24,코스피,2085.53,16.98,1.15,1.27
2015-06-25,코스피,2085.06,16.97,1.15,1.27
2015-06-26,코스피,2090.26,17.02,1.15,1.27
2015-06-29,코스피,2060.49,16.77,1.14,1.29
2015-06-30,코스피,2074.2,16.87,1.14,1.28
2015-07-01,코스피,2097.89,17.07,1.16,1.27
2015-07-02,코스피,2107.33,17.15,1.16,1.26
2015-07-03,코스피,2104.41,17.13,1.16,1.26
2015-07-06,코스피,2053.93,16.71,1.13,1.3
2015-07-07,코스피,2040.29,16.6,1.13,1.3
2015-07-08,코스피,2016.21,16.4,1.11,1.32
2015-07-09,코스피,2027.81,16.48,1.12,1.31
2015-07-10,코스피,2031.17,16.52,1.12,1.31
2015-07-13,코스피,2061.52,16.78,1.14,1.29
2015-07-14,코스피,2059.23,16.76,1.14,1.29
2015-07-15,코스피,2072.91,16.88,1.14,1.28
2015-07-16,코스피,2087.89,17.0,1.15,1.27
2015-07-17,코스피,2076.79,16.91,1.15,1.28
2015-07-20,코스피,2073.31,16.88,1.14,1.28
2015-07-21,코스피,2083.62,16.96,1.15,1.27
2015-07-22,코스피,2064.73,16.81,1.14,1.28
2015-07-23,코스피,2065.07,16.81,1.14,1.28
2015-07-24,코스피,2045.96,16.66,1.13,1.3
2015-07-27,코스피,2038.81,16.6,1.13,1.3
2015-07-28,코스피,2039.1,16.6,1.13,1.3
2015-07-29,코스피,2037.62,16.59,1.12,1.3
2015-07-30,코스피,2019.03,16.44,1.11,1.31
2015-07-31,코스피,2030.16,15.84,1.12,1.3
2015-08-03,코스피,2008.49,15.5,1.11,1.32
2015-08-04,코스피,2027.99,15.65,1.12,1.3
2015-08-05,코스피,2029.76,15.66,1.12,1.3
2015-08-06,코스피,2013.29,15.53,1.12,1.32
2015-08-07,코스피,2010.23,15.51,1.11,1.32
2015-08-10,코스피,2003.17,15.45,1.11,1.32
2015-08-11,코스피,1986.65,15.33,1.1,1.33
2015-08-12,코스피,1975.47,15.24,1.09,1.34
2015-08-13,코스피,1983.46,15.3,1.1,1.33
2015-08-17,코스피,1968.52,15.18,1.09,1.34
2015-08-18,코스피,1956.26,15.04,1.08,1.35
2015-08-19,코스피,1939.38,14.91,1.08,1.36
2015-08-20,코스피,1914.55,14.72,1.06,1.38
2015-08-21,코스피,1876.07,14.42,1.04,1.41
2015-08-24,코스피,1829.81,14.06,1.01,1.44
2015-08-25,코스피,1846.63,14.19,1.02,1.43
2015-08-26,코스피,1894.09,14.56,1.05,1.39
2015-08-27,코스피,1908.0,14.67,1.06,1.38
2015-08-28,코스피,1937.67,14.9,1.07,1.36
2015-08-31,코스피,1941.49,14.93,1.08,1.36
2015-09-01,코스피,1914.23,14.75,1.07,1.38
2015-09-02,코스피,1915.22,14.76,1.07,1.38
2015-09-03,코스피,1915.53,14.76,1.07,1.38
2015-09-04,코스피,1886.04,14.54,1.06,1.4
2015-09-07,코스피,1883.22,14.51,1.06,1.4
2015-09-08,코스피,1878.68,14.48,1.05,1.4
2015-09-09,코스피,1934.2,14.91,1.09,1.36
2015-09-10,코스피,1962.11,15.12,1.1,1.34
2015-09-11,코스피,1941.37,14.96,1.09,1.36
2015-09-14,코스피,1931.46,14.88,1.08,1.36
2015-09-15,코스피,1937.56,14.93,1.09,1.35
2015-09-16,코스피,1975.45,15.23,1.11,1.33
2015-09-17,코스피,1976.49,15.24,1.11,1.33
2015-09-18,코스피,1995.95,15.39,1.12,1.31
2015-09-21,코스피,1964.68,15.15,1.1,1.33
2015-09-22,코스피,1982.06,15.28,1.11,1.32
2015-09-23,코스피,1944.64,14.99,1.09,1.35
2015-09-24,코스피,1947.1,15.0,1.09,1.35
2015-09-25,코스피,1942.85,14.97,1.09,1.35
2015-09-30,코스피,1962.81,15.12,1.1,1.33
2015-10-01,코스피,1979.32,15.25,1.11,1.32
2015-10-02,코스피,1969.68,15.17,1.1,1.33
2015-10-05,코스피,1978.25,15.25,1.11,1.32
2015-10-06,코스피,1990.65,15.35,1.12,1.32
2015-10-07,코스피,2005.84,15.46,1.13,1.3
2015-10-08,코스피,2019.53,15.57,1.13,1.3
2015-10-12,코스피,2021.63,15.59,1.13,1.29
2015-10-13,코스피,2019.05,15.57,1.13,1.3
2015-10-14,코스피,2009.55,15.49,1.13,1.3
2015-10-15,코스피,2033.27,15.68,1.14,1.29
2015-10-16,코스피,2030.26,15.66,1.14,1.29
2015-10-19,코스피,2030.27,15.66,1.14,1.29
2015-10-20,코스피,2039.36,15.73,1.14,1.28
2015-10-21,코스피,2042.98,15.75,1.15,1.28
2015-10-22,코스피,2023.0,15.6,1.14,1.29
2015-10-23,코스피,2040.4,15.73,1.14,1.28
2015-10-26,코스피,2048.08,15.79,1.15,1.28
2015-10-27,코스피,2044.65,15.76,1.15,1.28
2015-10-28,코스피,2042.51,15.75,1.15,1.28
2015-10-29,코스피,2034.16,15.68,1.14,1.28
2015-10-30,코스피,2029.47,15.65,1.14,1.28
2015-11-02,코스피,2035.24,15.7,1.14,1.28
2015-11-03,코스피,2048.4,15.79,1.15,1.27
2015-11-04,코스피,2052.77,15.83,1.15,1.27
2015-11-05,코스피,2049.41,15.8,1.15,1.27
2015-11-06,코스피,2041.07,15.74,1.15,1.28
2015-11-09,코스피,2025.7,15.62,1.14,1.29
2015-11-10,코스피,1996.59,15.4,1.12,1.31
2015-11-11,코스피,1997.27,15.4,1.12,1.3
2015-11-12,코스피,1993.36,15.37,1.12,1.31
2015-11-13,코스피,1973.29,15.21,1.11,1.32
2015-11-16,코스피,1943.02,14.97,1.09,1.34
2015-11-17,코스피,1963.58,15.13,1.1,1.33
2015-11-18,코스피,1962.88,15.13,1.1,1.33
2015-11-19,코스피,1988.91,15.33,1.12,1.31
2015-11-20,코스피,1989.86,15.34,1.12,1.31
2015-11-23,코스피,2003.7,15.45,1.12,1.3
2015-11-24,코스피,2016.29,15.55,1.13,1.29
2015-11-25,코스피,2009.42,15.49,1.13,1.3
2015-11-26,코스피,2030.68,15.66,1.14,1.28
2015-11-27,코스피,2028.99,15.64,1.14,1.28
2015-11-30,코스피,1991.97,15.36,1.12,1.31
2015-12-01,코스피,2023.93,15.57,1.14,1.29
2015-12-02,코스피,2009.29,15.46,1.13,1.3
2015-12-03,코스피,1994.07,15.34,1.12,1.31
2015-12-04,코스피,1974.4,15.15,1.11,1.32
2015-12-07,코스피,1963.67,15.07,1.1,1.33
2015-12-08,코스피,1949.04,14.96,1.09,1.34
2015-12-09,코스피,1948.24,14.97,1.09,1.34
2015-12-10,코스피,1952.07,15.0,1.1,1.33
2015-12-11,코스피,1948.62,14.97,1.09,1.34
2015-12-14,코스피,1927.82,14.81,1.08,1.35
